variable,mean,min,median,max,std,nmissing
PUY_radiation_1,6.346347607052897,-2.3333333333333335,4.0,34.166666666666664,7.86659139314086,0
PUY_delta_pressure_1,-0.18712216624685138,-8.6,-0.10000000000000003,9.0,1.5291213365593657,0
PUY_air_temp_1,9.655037783375315,-12.299999999999999,10.033333333333333,24.0,6.598223957221222,0
PUY_sunshine_1,6.314861460957179,0.0,0.0,66.0,14.339166544037743,0
PUY_wind_1,5.8018052057094875,0.0,5.383333333333333,28.849999999999998,2.880338525424721,0
PUY_wind_direction_1,99.97260705289672,0.0,60.166666666666664,348.3333333333333,89.67951806182563,0
PUY_radiation_2,296.90706339210743,3.5,260.0,728.8333333333334,202.4362407741983,0
PUY_delta_pressure_2,0.04565491183879093,-11.0,-0.09999999999999994,9.9,1.6256216291596315,0
PUY_air_temp_2,11.218634550797649,-11.15,11.566666666666668,26.86666666666667,7.252564036434997,0
PUY_sunshine_2,156.57115869017633,0.0,141.0,360.0,134.88203060059735,0
PUY_wind_2,5.208768891687658,0.4166666666666667,4.266666666666667,21.36666666666667,3.0562857482381434,0
PUY_wind_direction_2,162.06801007556675,8.0,163.58333333333331,349.5,66.86943485670191,0
PUY_radiation_3,281.0984991603694,5.166666666666667,242.16666666666666,688.8333333333334,191.12655629799642,0
PUY_delta_pressure_3,-0.6568639798488666,-8.8,-0.8,9.799999999999999,1.7793045058350234,0
PUY_air_temp_3,13.598194794290515,-8.2,13.616666666666667,31.650000000000006,8.137309818878254,0
PUY_sunshine_3,156.8712216624685,0.0,151.0,360.0,129.94767248452305,0
PUY_wind_3,5.581627833753148,0.3,4.383333333333333,25.333333333333332,3.5442020937625953,0
PUY_wind_direction_3,168.06753778337523,12.666666666666666,171.66666666666666,353.1666666666667,67.36372066278057,0
PUY_radiation_4,5.373530646515532,-4.166666666666667,3.6666666666666665,38.666666666666664,6.880367071143165,0
PUY_delta_pressure_4,0.756360201511335,-8.799999999999999,0.7999999999999999,9.6,1.5776601356438695,0
PUY_air_temp_4,11.331302476910157,-10.283333333333331,11.5,28.133333333333336,7.355172692781584,0
PUY_sunshine_4,6.88948362720403,0.0,0.0,88.0,16.21435359795193,0
PUY_wind_4,6.219794290512175,0.0,5.6499999999999995,25.616666666666664,3.0529304103850214,0
PUY_wind_direction_4,101.12925062972292,0.0,69.83333333333333,345.1666666666667,86.37947079053241,0
